,GRID_ID,ROOM_ID,SHAPE_AREA_SQFEET,TOTAL_ROOM_AREA_SQFEET,Chapter_Object_1,Chapter_Object_10,Chapter_Object_11,Chapter_Object_12,Chapter_Object_13,Chapter_Object_14,Chapter_Object_15,Chapter_Object_16,Chapter_Object_17,Chapter_Object_18,Chapter_Object_2,Chapter_Object_3,Chapter_Object_4,Chapter_Object_5,Chapter_Object_6,Chapter_Object_7,Chapter_Object_8,Chapter_Object_9,Number _of_Objects
67,"180,55",6.0,71.9103514795,722.701947324,,,,,,,,,,,,,,,,,,,
68,"181,57",6.0,0.2888002632,722.701947324,,,,,,,,,,,,,,,,,,,
69,"181,56",6.0,54.2726539584,722.701947324,,,,,,,,,,,,,,,,,,,
70,"181,55",6.0,40.1115570984,722.701947324,,,,,,,,,,,,,,,,,,,
71,"176,53",7.0,0.02426520253,3015.01014171,,,,,,,,,,,,,,,,,,,
72,"176,52",7.0,0.03175470553,3015.01014171,,,,,,,,,,,,,,,,,,,
73,"177,53",7.0,13.0576727925,3015.01014171,,,,,,,,,,,,,,,,,,,
74,"177,52",7.0,99.8587538132,3015.01014171,,,,,,,,,,,,,,,,,,,
75,"177,51",7.0,99.2854318186,3015.01014171,,,,,,,,,,,,,,,,,,,
76,"177,50",7.0,98.6747990744,3015.01014171,,,,,,,,,,,,,,,,,,,
77,"177,49",7.0,98.0738900684,3015.01014171,,,,,,,,,,,,,,,,,,,
78,"177,48",7.0,97.463449935,3015.01014171,,,,,,,,,,,,,,,,,,,
79,"177,47",7.0,96.8608304601,3015.01014171,,,,,,,,,,,,,,,,,,,
80,"177,46",7.0,18.3592335879,3015.01014171,,,,,,,,,,,,,,,,,,,
81,"178,53",7.0,17.9136486534,3015.01014171,,,,,,,,,,,,,,,,,,,
82,"178,52",7.0,100.000043901,3015.01014171,,,,,,,,,,,,,,,,,,,
83,"178,51",7.0,100.003322679,3015.01014171,,,,,,,,,,,,,,,,,,,
84,"178,50",7.0,100.000043901,3015.01014171,,,,,,,,,,,,,,,,,,,
85,"178,49",7.0,100.003322679,3015.01014171,,,,,,,,,,,,,,,,,,,
86,"178,48",7.0,100.000043903,3015.01014171,,,,,,,,,,,,,,,,,,,
87,"178,47",7.0,100.001624519,3015.01014171,,,,,,,,,,,,,,,,,,,
88,"178,46",7.0,19.0390624887,3015.01014171,,,,,,,,,,,,,,,,,,,
89,"179,53",7.0,22.7684498759,3015.01014171,,,,,,,,,,,,,,,,,,,
90,"179,52",7.0,99.9967652179,3015.01014171,,,,,,,,,,,,,,,,,,,
91,"179,51",7.0,100.000043919,3015.01014171,,,,,,,,,,,,,,,,,,,
92,"179,50",7.0,99.9967652179,3015.01014171,,,,,,,,,,,,,,,,,,,
93,"179,49",7.0,100.000043919,3015.01014171,,,,,,,,,,,,,,,,,,,
94,"179,48",7.0,99.9967652201,3015.01014171,,,,,,,,,,,,,,,,,,,
95,"179,47",7.0,100.00162452,3015.01014171,27.0,,,,,,,,,,,,,,,,,,1.0
96,"179,46",7.0,19.0544524708,3015.01014171,,,,,,,,,,,,,,,,,,,
97,"180,53",7.0,27.6247441228,3015.01014171,,,,,,,,,,,,,,,,,,,
98,"180,52",7.0,100.000043886,3015.01014171,,,,,,,,,,,,,,,,,,,
99,"180,51",7.0,100.003322695,3015.01014171,,,,,,,,,,,,,,,,,,,
100,"180,50",7.0,100.000043886,3015.01014171,,,,,,,,,,,,,,,,,,,
101,"180,49",7.0,100.003322695,3015.01014171,,,,,,,,,,,,,,,,,,,
102,"180,48",7.0,99.9983457837,3015.01014171,,,,,,,,,,,,,,,,,,,
103,"180,47",7.0,100.000043901,3015.01014171,,,,,,,,,,,,,,,,,,,
104,"180,46",7.0,19.068570581,3015.01014171,,,,,,,,,,,,,,,,,,,
105,"181,53",7.0,18.1400193966,3015.01014171,,,,,,,,,,,,,,,,,,,
106,"181,52",7.0,60.7236718502,3015.01014171,,,,,,,,,,,,,,,,,,,
107,"181,51",7.0,65.3169530556,3015.01014171,,,,,,,,,,,,,,,,,,,
108,"181,50",7.0,69.90587447,3015.01014171,,,,,,,,,,,,,,,,,,,
109,"181,49",7.0,74.4966554381,3015.01014171,,,,,,,,,,,,,,,,,,,
