OBJECTID,ROOM_ID,GRID_ID,SHAPE_AREA_SQFEET,TOTAL_ROOM_AREA_SQFEET
1,1,"154,50",7.64290211312,2133.44330361000
2,1,"154,49",10.27063451790,2133.44330361000
3,1,"154,48",5.38900612111,2133.44330361000
4,1,"154,47",0.88925096927,2133.44330361000
5,1,"155,52",6.20962643223,2133.44330361000
6,1,"155,51",1.41976066930,2133.44330361000
7,1,"155,50",58.48266712010,2133.44330361000
8,1,"155,49",99.99676523270,2133.44330361000
9,1,"155,48",100.00004390300,2133.44330361000
10,1,"155,47",54.61806614660,2133.44330361000
11,1,"156,52",79.06230425670,2133.44330361000
12,1,"156,51",98.96843027300,2133.44330361000
13,1,"156,50",97.61985092390,2133.44330361000
14,1,"156,49",100.00004388600,2133.44330361000
15,1,"156,48",100.00332269500,2133.44330361000
16,1,"156,47",45.85185133820,2133.44330361000
17,1,"157,52",87.98138002830,2133.44330361000
18,1,"157,51",99.99676522010,2133.44330361000
19,1,"157,50",100.00004391900,2133.44330361000
20,1,"157,49",99.99676521790,2133.44330361000
21,1,"157,48",100.00004391900,2133.44330361000
22,1,"157,47",37.08334073770,2133.44330361000
23,1,"158,53",3.79053000891,2133.44330361000
24,1,"158,52",89.51245891490,2133.44330361000
25,1,"158,51",68.64428668640,2133.44330361000
26,1,"158,50",87.13604255940,2133.44330361000
27,1,"158,49",99.93755109160,2133.44330361000
28,1,"158,48",100.00332267900,2133.44330361000
29,1,"158,47",28.31892570030,2133.44330361000
30,1,"159,53",6.34256228410,2133.44330361000
31,1,"159,52",72.75237375420,2133.44330361000
32,1,"159,51",62.58892763120,2133.44330361000
33,1,"159,50",58.60939191880,2133.44330361000
34,1,"159,49",20.65092439870,2133.44330361000
35,1,"159,48",26.25678962220,2133.44330361000
36,1,"159,47",11.02319820380,2133.44330361000
37,1,"160,50",4.99170313825,2133.44330361000
38,1,"160,49",1.39589534886,2133.44330361000
39,2,"164,68",29.92621522140,106.14287565500
40,2,"164,67",50.97694279510,106.14287565500
41,2,"164,66",6.05360218276,106.14287565500
42,2,"165,68",6.35419560050,106.14287565500
43,2,"165,67",11.32109730470,106.14287565500
44,2,"165,66",1.51015767683,106.14287565500
45,3,"177,54",54.91739012510,178.63246223300
46,3,"177,53",35.99086352730,178.63246223300
47,3,"178,54",54.24559559320,178.63246223300
48,3,"178,53",33.47814257980,178.63246223300
49,4,"179,54",75.02549021260,299.03417486500
50,4,"179,53",34.65948611080,299.03417486500
51,4,"180,54",86.29485885580,299.03417486500
52,4,"180,53",35.30239679730,299.03417486500
53,4,"181,54",48.79639255240,299.03417486500
54,4,"181,53",18.95407036060,299.03417486500
55,5,"164,65",25.85578353130,193.26757440800
56,5,"164,64",67.11704599510,193.26757440800
57,5,"164,63",33.53114332380,193.26757440800
58,5,"165,65",15.25845729840,193.26757440800
59,5,"165,64",33.87909016850,193.26757440800
60,5,"165,63",17.62737396330,193.26757440800
61,6,"177,56",64.08572280560,722.70194732400
62,6,"177,55",65.13367135830,722.70194732400
63,6,"178,56",85.54093282400,722.70194732400
64,6,"178,55",78.81952587360,722.70194732400
65,6,"179,56",90.90419010330,722.70194732400
66,6,"179,55",75.36162535280,722.70194732400
67,6,"180,56",96.27491355240,722.70194732400
68,6,"180,55",71.91035147950,722.70194732400
69,6,"181,57",0.28880026320,722.70194732400
70,6,"181,56",54.27265395840,722.70194732400
71,6,"181,55",40.11155709840,722.70194732400
72,7,"176,53",0.02426520253,3015.01014171000
73,7,"176,52",0.03175470553,3015.01014171000
74,7,"177,53",13.05767279250,3015.01014171000
75,7,"177,52",99.85875381320,3015.01014171000
76,7,"177,51",99.28543181860,3015.01014171000
77,7,"177,50",98.67479907440,3015.01014171000
78,7,"177,49",98.07389006840,3015.01014171000
79,7,"177,48",97.46344993500,3015.01014171000
80,7,"177,47",96.86083046010,3015.01014171000
81,7,"177,46",18.35923358790,3015.01014171000
82,7,"178,53",17.91364865340,3015.01014171000
83,7,"178,52",100.00004390100,3015.01014171000
84,7,"178,51",100.00332267900,3015.01014171000
85,7,"178,50",100.00004390100,3015.01014171000
86,7,"178,49",100.00332267900,3015.01014171000
87,7,"178,48",100.00004390300,3015.01014171000
88,7,"178,47",100.00162451900,3015.01014171000
89,7,"178,46",19.03906248870,3015.01014171000
90,7,"179,53",22.76844987590,3015.01014171000
91,7,"179,52",99.99676521790,3015.01014171000
92,7,"179,51",100.00004391900,3015.01014171000
93,7,"179,50",99.99676521790,3015.01014171000
94,7,"179,49",100.00004391900,3015.01014171000
95,7,"179,48",99.99676522010,3015.01014171000
